ID,FID_Grilla,ROW,COL,LAT,LON,AREA,Dias,Seg,PM25(g/proyecto),PM25 (E(g/d)),PM25(g),PM25(t),PM10(g/proyecto),PM10 (E(g/d)),PM10(g),PM10(t)
53,3,28,36,4.603096,-74.080956,1500.0,157,6217200,37303.2,237.6,25660.8,0.0256608,121235.4,772.2,83397.6,0.0833976
54,2109,28,35,4.603096,-74.089951,1.187,217,8593200,40.8005136,0.1880208,24.442704,2.4442704e-05,132.6016692,0.6110676,79.438788,7.9438788e-05
55,3,28,36,4.603096,-74.080956,29900.0,805,31878000,3812608.8,4736.16,1236137.76,1.23613776,12390978.6,15392.52,4017447.72,4.01744772
56,2114,28,37,4.603096,-74.07196,3400.0,130,5148000,70012.8,538.56,39853.44,0.03985344,227541.6,1750.32,129523.68,0.12952368
57,66,28,34,4.603096,-74.098946,52.0,802,31759200,6605.9136,8.2368,2149.8048,0.0021498048,21469.2192,26.7696,6986.8656,0.0069868656
58,66,28,34,4.603096,-74.098946,8000.0,523,20710800,662745.6,1267.2,261043.2,0.2610432,2153923.2,4118.4,848390.4,0.8483904
59,2114,28,37,4.603096,-74.07196,112846.99,974,38570400,17410214.1724,17874.963216,4665365.39938,4.66536539938,56583196.0602,58093.630452,15162437.548,15.162437548
60,2114,28,37,4.603096,-74.07196,114000.0,510,20196000,9209376.0,18057.6,4713033.6,4.7130336,29930472.0,58687.2,15317359.2,15.3173592
61,2106,28,31,4.603096,-74.125923,6074.0,261,10335600,251113.7376,962.1216,151053.0912,0.1510530912,816119.6472,3126.8952,490922.5464,0.4909225464
62,488,28,38,4.603096,-74.062965,78717.0,149,5900400,1857847.1472,12468.7728,785532.6864,0.7855326864,6038003.2284,40523.5116,2552981.2308,2.5529812308
63,487,28,32,4.603096,-74.116936,29939.0,218,8632800,1033829.5968,4742.3376,796712.7168,0.7967127168,3359946.1896,15412.5972,2589316.3296,2.5893163296
64,2114,28,37,4.603096,-74.07196,19115.65,370,14652000,1120330.0152,3027.91896,432992.41128,0.43299241128,3641072.5494,9840.73662,1407225.33666,1.40722533666
65,2114,28,37,4.603096,-74.07196,5000.0,414,16394400,327888.0,792.0,206712.0,0.206712,1065636.0,2574.0,671814.0,0.671814
66,2196,29,37,4.612068,-74.07196,12167.33,565,22374000,1088927.36568,1927.305072,495317.403504,0.495317403504,3539013.93846,6263.741484,1609781.56139,1.60978156139
67,2196,29,37,4.612068,-74.07196,8243.19,357,14137200,466142.502672,1305.721296,314678.832336,0.314678832336,1514963.13368,4243.594212,1022706.20509,1.02270620509
68,2202,29,33,4.612068,-74.107941,10000.0,262,10375200,415008.0,1584.0,327888.0,0.327888,1348776.0,5148.0,1065636.0,1.065636
69,2211,29,27,4.612068,-74.161903,19.0,802,31759200,2413.6992,3.0096,436.392,0.000436392,7844.5224,9.7812,1418.274,0.001418274
70,2200,29,35,4.612068,-74.089951,7198.92,284,11246400,323847.735552,1140.308928,37630.194624,0.037630194624,1052505.14054,3706.004016,122298.132528,0.122298132528
71,2211,29,27,4.612068,-74.161903,3048.8,343,13582800,165644.96256,482.92992,122664.19968,0.12266419968,538346.12832,1569.52224,398658.64896,0.39865864896
72,2194,29,38,4.612068,-74.062965,7.69,394,15602400,479.929824,1.218096,317.923056,0.000317923056,1559.771928,3.958812,1033.249932,0.001033249932
73,2196,29,37,4.612068,-74.07196,975.0,185,7326000,28571.4,154.44,20694.96,0.02069496,92857.05,501.93,67258.62,0.06725862
74,2196,29,37,4.612068,-74.07196,39980.71,1091,43203600,6909242.41022,6332.944464,1652898.5051,1.6528985051,22455037.8332,20582.069508,5371920.14159,5.37192014159
75,2196,29,37,4.612068,-74.07196,39980.71,1091,43203600,6909242.41022,6332.944464,1652898.5051,1.6528985051,22455037.8332,20582.069508,5371920.14159,5.37192014159
76,2210,29,28,4.612068,-74.152908,32269.55,66,2613600,337358.78352,5111.49672,168679.39176,0.16867939176,1096416.04644,16612.36434,548208.02322,0.54820802322
77,467,30,25,4.621033,-74.179893,5672.7,287,11365200,257885.48016,898.55568,233624.4768,0.2336244768,838127.81052,2920.30596,759279.5496,0.7592795496
78,2215,30,24,4.621033,-74.188889,40831.0,950,37620000,6144248.88,6467.6304,1688051.5344,1.6880515344,19968808.86,21019.7988,5486167.4868,5.4861674868
79,2195,30,37,4.621033,-74.07196,28251.64,262,10375200,1172465.66131,4475.059776,693634.26528,0.69363426528,3810513.39926,14543.944272,2254311.36216,2.25431136216
80,2206,30,29,4.621033,-74.143913,3180.24,208,8236800,104780.003328,503.750016,98231.25312,0.09823125312,340535.010816,1637.187552,319251.57264,0.31925157264
81,461,30,38,4.621033,-74.062965,12000.0,195,7722000,370656.0,1900.8,163468.8,0.1634688,1204632.0,6177.6,531273.6,0.5312736
82,2198,30,35,4.621033,-74.089951,1956.0,261,10335600,80865.7344,309.8304,48953.2032,0.0489532032,262813.6368,1006.9488,159097.9104,0.1590979104
83,2198,30,35,4.621033,-74.089951,35979.82,205,8118000,1168336.71504,5699.203488,1168336.71504,1.16833671504,3797094.32388,18522.411336,3797094.32388,3.79709432388
84,2195,30,37,4.621033,-74.07196,6614.98,391,15483600,409694.817312,1047.812832,67060.021248,0.067060021248,1331508.15626,3405.391704,217945.069056,0.217945069056
85,463,30,34,4.621033,-74.098946,1544.0,606,23997600,148209.1776,244.5696,31060.3392,0.0310603392,481679.8272,794.8512,100946.1024,0.1009461024
86,463,30,34,4.621033,-74.098946,984.75,262,10375200,40867.9128,155.9844,13570.6428,0.0135706428,132820.7166,506.9493,44104.5891,0.0441045891
87,462,30,36,4.621033,-74.080956,43465.1,173,6850800,1191082.82832,6884.87184,1191082.82832,1.19108282832,3871019.19204,22375.83348,3871019.19204,3.87101919204
88,2215,30,24,4.621033,-74.188889,11992.92,292,11563200,554706.130176,1899.678528,433126.704384,0.433126704384,1802794.92307,6173.955216,1407661.78925,1.40766178925
89,464,30,32,4.621033,-74.116936,9630.0,265,10494000,404228.88,1525.392,385924.176,0.385924176,1313743.86,4957.524,1254253.572,1.254253572
90,462,30,36,4.621033,-74.080956,10600.0,172,6811200,288794.88,1679.04,164545.92,0.16454592,938583.36,5456.88,534774.24,0.53477424
91,462,30,36,4.621033,-74.080956,3100.0,262,10375200,128652.48,491.04,113921.28,0.11392128,418120.56,1595.88,370244.16,0.37024416
92,2350,31,38,4.629997,-74.062965,14249.96,219,8672400,494325.412416,2257.193664,376951.341888,0.376951341888,1606557.59035,7335.879408,1225091.86114,1.22509186114
93,2350,31,38,4.629997,-74.062965,10291.0,325,12870000,529780.68,1630.0944,387962.4672,0.3879624672,1721787.21,5297.8068,1260878.0184,1.2608780184
94,2340,31,33,4.629997,-74.107941,14329.0,219,8672400,497067.2784,2269.7136,59012.5536,0.0590125536,1615468.6548,7376.5692,191790.7992,0.1917907992
95,2310,31,24,4.629997,-74.188889,7920.72,304,12038400,381411.182592,1254.642048,273511.966464,0.273511966464,1239586.34342,4077.586656,888913.891008,0.888913891008
96,2345,31,36,4.629997,-74.080956,13599.0,523,20710800,1126584.6768,2154.0816,562215.2976,0.5622152976,3661400.1996,7000.7652,1827199.7172,1.8271997172
97,2316,31,26,4.629997,-74.170898,41855.13,261,10335600,1730391.52651,6629.852592,1730391.52651,1.73039152651,5623772.46116,21547.020924,5623772.46116,5.62377246116
98,2317,31,25,4.629997,-74.179893,22.657,541,21423600,1941.5780208,3.5888688,936.6947568,0.0009366947568,6310.1285676,11.6638236,3044.2579596,0.0030442579596
99,2316,31,26,4.629997,-74.170898,21.219,420,16632000,1411.657632,3.3610896,57.1385232,5.71385232e-05,4587.887304,10.9235412,185.7002004,0.0001857002004
100,2344,31,37,4.629997,-74.07196,7678.83,593,23482800,721281.716496,1216.326672,317461.261392,0.317461261392,2344165.57861,3953.061684,1031749.09952,1.03174909952
101,2339,31,34,4.629997,-74.098946,16746.1,324,12830400,859436.64576,2652.58224,236079.81936,0.23607981936,2793169.09872,8620.89228,767259.41292,0.76725941292
102,2339,31,34,4.629997,-74.098946,16746.1,324,12830400,859436.64576,2652.58224,236079.81936,0.23607981936,2793169.09872,8620.89228,767259.41292,0.76725941292
103,2345,31,36,4.629997,-74.080956,666.63,181,7167600,19112.548752,105.594192,5174.115408,0.005174115408,62115.783444,343.181124,16815.875076,0.016815875076
104,2332,31,31,4.629997,-74.125923,19000.0,173,6850800,520660.8,3009.6,520660.8,0.5206608,1692147.6,9781.2,1692147.6,1.6921476
105,2338,31,35,4.629997,-74.089951,16492.85,523,20710800,1366320.47112,2612.46744,681854.00184,0.68185400184,4440541.53114,8490.51918,2216025.50598,2.21602550598
106,2345,31,36,4.629997,-74.080956,5550.0,338,13384800,297142.56,879.12,165274.56,0.16527456,965713.32,2857.14,537142.32,0.53714232
107,2345,31,36,4.629997,-74.080956,2625.75,309,12236400,128518.9092,415.9188,108554.8068,0.1085548068,417686.4549,1351.7361,352803.1221,0.3528031221
