FID,ROW,COL,LAT,LON,FID_Grilla,FECHA_INI,FECHA_FIN,AREA_m2,Dias,Dias_2014
100.0,31.0,37.0,4.629997,-74.07196,2344.0,41355.0,42185.0,7678.83,593.0,261.0
101.0,31.0,34.0,4.629997,-74.098946,2339.0,41311.0,41764.0,16746.1,324.0,89.0
102.0,31.0,34.0,4.629997,-74.098946,2339.0,41311.0,41764.0,16746.1,324.0,89.0
103.0,31.0,36.0,4.629997,-74.080956,2345.0,41456.0,41708.0,666.63,181.0,49.0
104.0,31.0,31.0,4.629997,-74.125923,2332.0,41724.0,41964.0,19000.0,173.0,173.0
105.0,31.0,35.0,4.629997,-74.089951,2338.0,41402.0,42132.0,16492.85,523.0,261.0
106.0,31.0,36.0,4.629997,-74.080956,2345.0,41430.0,41901.0,5550.0,338.0,188.0
107.0,31.0,36.0,4.629997,-74.080956,2345.0,41587.0,42019.0,2625.75,309.0,261.0
108.0,31.0,38.0,4.629997,-74.062965,2350.0,41682.0,41759.0,2500.0,56.0,56.0
109.0,32.0,38.0,4.638962,-74.062965,440.0,41334.0,42003.0,8862.86,478.0,260.0
110.0,32.0,38.0,4.638962,-74.062965,440.0,41456.0,41990.0,5164.0,383.0,251.0
111.0,32.0,38.0,4.638962,-74.062965,440.0,41577.0,42003.0,2295.0,305.0,260.0
112.0,32.0,36.0,4.638962,-74.080956,439.0,41430.0,41901.0,5452.02,338.0,188.0
113.0,32.0,27.0,4.638962,-74.161903,435.0,41468.0,41654.0,74969.0,133.0,11.0
114.0,32.0,33.0,4.638962,-74.107941,2337.0,35247.0,48060.0,5.005,9154.0,261.0
115.0,32.0,33.0,4.638962,-74.107941,2337.0,41001.0,41717.0,11042.0,513.0,56.0
116.0,32.0,29.0,4.638962,-74.143913,2325.0,40756.0,41882.0,24194.39,805.0,173.0
117.0,32.0,37.0,4.638962,-74.07196,2343.0,41449.0,42209.0,492.46,545.0,261.0
118.0,32.0,35.0,4.638962,-74.089951,2336.0,41562.0,41659.0,489.0,70.0,14.0
119.0,32.0,39.0,4.638962,-74.05397,2348.0,41583.0,41675.0,700.0,67.0,26.0
120.0,32.0,26.0,4.638962,-74.170898,2315.0,41640.0,41988.0,36146.13,249.0,249.0
121.0,32.0,36.0,4.638962,-74.080956,439.0,41491.0,41759.0,145.97,193.0,86.0
122.0,32.0,38.0,4.638962,-74.062965,440.0,41292.0,41958.0,4884.34,476.0,228.0
123.0,32.0,38.0,4.638962,-74.062965,440.0,41652.0,41674.0,60.0,17.0,17.0
124.0,32.0,29.0,4.638962,-74.143913,2325.0,41750.0,43175.0,33270.18,1020.0,183.0
125.0,32.0,38.0,4.638962,-74.062965,440.0,41549.0,42213.0,1315.22,475.0,261.0
126.0,32.0,38.0,4.638962,-74.062965,440.0,41562.0,41922.0,5623.72,259.0,203.0
127.0,32.0,32.0,4.638962,-74.116936,437.0,40784.0,41871.0,2852.24,778.0,166.0
128.0,32.0,31.0,4.638962,-74.125923,2330.0,41214.0,41943.0,55760.0,522.0,218.0
130.0,32.0,38.0,4.638962,-74.062965,440.0,41440.0,41820.0,1082.05,271.0,129.0
131.0,32.0,38.0,4.638962,-74.062965,440.0,41517.0,42236.0,2447.65,514.0,261.0
132.0,32.0,38.0,4.638962,-74.062965,440.0,41518.0,41820.0,2751.73,216.0,129.0
133.0,33.0,38.0,4.647919,-74.062965,2347.0,41554.0,41919.0,6685.57,262.0,200.0
134.0,33.0,34.0,4.647919,-74.098946,2334.0,41365.0,42251.0,63652.86,635.0,261.0
135.0,33.0,36.0,4.647919,-74.080956,2342.0,41671.0,41729.0,1701.0,41.0,41.0
136.0,33.0,39.0,4.647919,-74.05397,2346.0,41532.0,42262.0,17585.65,522.0,261.0
137.0,33.0,36.0,4.647919,-74.080956,2342.0,41309.0,41682.0,6482.24,268.0,31.0
138.0,33.0,27.0,4.647919,-74.161903,2319.0,41682.0,41973.0,1200.0,208.0,208.0
139.0,33.0,36.0,4.647919,-74.080956,2342.0,41579.0,42124.0,5421.21,390.0,261.0
140.0,33.0,39.0,4.647919,-74.05397,2346.0,40569.0,42030.0,51728.0,1044.0,261.0
141.0,33.0,29.0,4.647919,-74.143913,2324.0,41164.0,42258.0,63675.48,783.0,261.0
142.0,33.0,39.0,4.647919,-74.05397,2346.0,41334.0,41980.0,3270.0,461.0,243.0
143.0,33.0,29.0,4.647919,-74.143913,2324.0,41484.0,42277.0,25895.0,568.0,261.0
144.0,33.0,36.0,4.647919,-74.080956,2342.0,41429.0,42159.0,3256.82,523.0,261.0
145.0,33.0,26.0,4.647919,-74.170898,2313.0,41519.0,42887.0,26665.84,979.0,261.0
146.0,33.0,29.0,4.647919,-74.143913,2324.0,41064.0,41729.0,26081.23,476.0,64.0
147.0,33.0,25.0,4.647919,-74.179893,2314.0,41396.0,41789.0,13084.06,282.0,108.0
148.0,33.0,38.0,4.647919,-74.062965,2347.0,41522.0,42094.0,6436.0,409.0,261.0
149.0,33.0,29.0,4.647919,-74.143913,2324.0,41501.0,42231.0,129778.69,522.0,261.0
150.0,33.0,37.0,4.647919,-74.07196,2341.0,41723.0,42262.0,6232.0,386.0,202.0
151.0,33.0,36.0,4.647919,-74.080956,2342.0,41318.0,42048.0,1738.65,523.0,261.0
152.0,33.0,39.0,4.647919,-74.05397,2346.0,41652.0,41971.0,2316.73,230.0,230.0
153.0,33.0,39.0,4.647919,-74.05397,2346.0,41699.0,42186.0,4117.54,348.0,218.0
154.0,33.0,34.0,4.647919,-74.098946,2334.0,41653.0,42004.0,17305.0,252.0,252.0
155.0,33.0,38.0,4.647919,-74.062965,2347.0,41355.0,42084.0,15668.43,521.0,261.0
156.0,33.0,29.0,4.647919,-74.143913,2324.0,41509.0,41693.0,8450.0,131.0,38.0
157.0,33.0,38.0,4.647919,-74.062965,2347.0,41395.0,41973.0,15668.43,413.0,238.0
158.0,33.0,39.0,4.647919,-74.05397,2346.0,41569.0,41799.0,16846.0,165.0,114.0
159.0,33.0,26.0,4.647919,-74.170898,2313.0,41487.0,42613.0,134.737,805.0,261.0
160.0,33.0,39.0,4.647919,-74.05397,2346.0,41088.0,41848.0,16845.0,543.0,149.0
161.0,34.0,38.0,4.656898,-74.062965,411.0,41610.0,41867.0,795.04,185.0,163.0
162.0,34.0,38.0,4.656898,-74.062965,411.0,41487.0,42124.0,9152.0,456.0,261.0
163.0,34.0,36.0,4.656898,-74.080956,74.0,41533.0,41729.0,5542.0,141.0,64.0
164.0,34.0,28.0,4.656898,-74.152908,2465.0,41384.0,42195.0,23958.1,580.0,261.0
165.0,34.0,28.0,4.656898,-74.152908,2465.0,41233.0,42114.0,26515.4,630.0,261.0
166.0,34.0,28.0,4.656898,-74.152908,2465.0,41484.0,42647.0,34477.92,832.0,261.0
167.0,34.0,28.0,4.656898,-74.152908,2465.0,41723.0,42174.0,22965.47,324.0,202.0
168.0,34.0,39.0,4.656898,-74.05397,2448.0,41348.0,41830.0,4084.04,345.0,137.0
169.0,34.0,28.0,4.656898,-74.152908,2465.0,41407.0,42139.0,20917.71,525.0,261.0
170.0,34.0,39.0,4.656898,-74.05397,2448.0,41516.0,42338.0,4274.0,587.0,261.0
171.0,34.0,31.0,4.656898,-74.125923,2459.0,41155.0,42124.0,58523.93,694.0,261.0
172.0,34.0,39.0,4.656898,-74.05397,2448.0,41764.0,41922.0,260.0,115.0,115.0
173.0,34.0,40.0,4.656898,-74.044975,2445.0,41506.0,41971.0,465359.0,334.0,238.0
174.0,34.0,40.0,4.656898,-74.044975,2445.0,41519.0,42186.0,4274.0,478.0,261.0
175.0,34.0,33.0,4.656898,-74.107941,2456.0,41214.0,42034.0,55760.0,587.0,261.0
176.0,34.0,32.0,4.656898,-74.116936,413.0,41570.0,41820.0,38776.47,179.0,129.0
177.0,34.0,32.0,4.656898,-74.116936,413.0,41570.0,41820.0,38776.47,179.0,129.0
178.0,34.0,36.0,4.656898,-74.080956,74.0,41425.0,42185.0,4501.0,543.0,261.0
179.0,34.0,40.0,4.656898,-74.044975,2445.0,41208.0,42063.0,29831.17,611.0,261.0
180.0,34.0,32.0,4.656898,-74.116936,413.0,41646.0,42332.0,24878.63,491.0,257.0
181.0,34.0,33.0,4.656898,-74.107941,2456.0,41565.0,42295.0,6012.99,521.0,261.0
182.0,34.0,39.0,4.656898,-74.05397,2448.0,41214.0,41973.0,23385.83,542.0,238.0
183.0,35.0,39.0,4.665855,-74.05397,2446.0,41582.0,41855.0,1016.37,196.0,154.0
184.0,35.0,39.0,4.665855,-74.05397,2446.0,41582.0,41855.0,1016.37,196.0,154.0
185.0,35.0,39.0,4.665855,-74.05397,2446.0,41456.0,42369.0,11931.13,654.0,261.0
186.0,35.0,40.0,4.665855,-74.044975,2444.0,41400.0,42262.0,9434.45,617.0,261.0
187.0,35.0,40.0,4.665855,-74.044975,2444.0,41487.0,41912.0,1873.05,304.0,195.0
188.0,35.0,39.0,4.665855,-74.05397,2446.0,41283.0,42013.0,3055.62,523.0,261.0
189.0,35.0,30.0,4.665855,-74.134918,2460.0,41429.0,42246.0,24396.19,584.0,261.0
190.0,35.0,32.0,4.665855,-74.116936,2457.0,41313.0,41737.0,17603.0,303.0,70.0
191.0,35.0,32.0,4.665855,-74.116936,2457.0,40940.0,42034.0,39435.53,783.0,261.0
192.0,35.0,38.0,4.665855,-74.062965,2447.0,41414.0,41881.0,6359.79,335.0,173.0
193.0,35.0,32.0,4.665855,-74.116936,2457.0,41617.0,42181.0,15472.69,405.0,261.0
194.0,35.0,39.0,4.665855,-74.05397,2446.0,41197.0,41698.0,2968.0,360.0,43.0
195.0,35.0,40.0,4.665855,-74.044975,2444.0,39450.0,41640.0,23909.56,1565.0,1.0
196.0,35.0,40.0,4.665855,-74.044975,2444.0,41641.0,42353.0,5.564,509.0,260.0
197.0,35.0,40.0,4.665855,-74.044975,2444.0,41729.0,41943.0,327727.0,155.0,155.0
198.0,35.0,37.0,4.665855,-74.07196,2449.0,41365.0,41795.0,439859.0,309.0,112.0
199.0,35.0,33.0,4.665855,-74.107941,2454.0,41470.0,42200.0,21413.97,523.0,261.0
200.0,35.0,39.0,4.665855,-74.05397,2446.0,41673.0,42403.0,1180.92,523.0,238.0
201.0,35.0,39.0,4.665855,-74.05397,2446.0,41153.0,42248.0,38498.0,782.0,261.0
202.0,35.0,39.0,4.665855,-74.05397,2446.0,41652.0,42292.0,3500.0,459.0,253.0
203.0,35.0,39.0,4.665855,-74.05397,2446.0,41591.0,42322.0,11577.4,523.0,261.0
204.0,35.0,39.0,4.665855,-74.05397,2446.0,41592.0,42322.0,11577.4,522.0,261.0
205.0,35.0,33.0,4.665855,-74.107941,2454.0,41579.0,41944.0,1271.99,261.0,218.0
206.0,35.0,39.0,4.665855,-74.05397,2446.0,40834.0,41669.0,12387.53,598.0,22.0
207.0,35.0,38.0,4.665855,-74.062965,2447.0,41155.0,41868.0,6920.0,510.0,163.0
208.0,35.0,39.0,4.665855,-74.05397,2446.0,41743.0,42369.0,7480.0,449.0,188.0
209.0,35.0,32.0,4.665855,-74.116936,2457.0,41532.0,41927.0,1700.3,283.0,206.0
210.0,35.0,29.0,4.665855,-74.143913,2461.0,41344.0,41788.0,17320.37,319.0,107.0
211.0,35.0,39.0,4.665855,-74.05397,2446.0,41257.0,41942.0,9303.03,490.0,217.0
212.0,35.0,32.0,4.665855,-74.116936,2457.0,41305.0,42277.0,21849.0,695.0,261.0
213.0,36.0,39.0,4.67482,-74.05397,2565.0,41504.0,41886.0,9114.46,274.0,177.0
214.0,36.0,40.0,4.67482,-74.044975,2568.0,41487.0,42004.0,2317.56,370.0,261.0
